"%s and greater","%s ja suuremad"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Automaatselt genereeritud saidi kaart"
"Home","Avaleht"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Popular search terms","Enimkasutatud sõnad otsingutes"
"Popular Search Terms","Enimkasutatud sõnad otsingutes"
"Go","Go"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Catalog Advanced Search","Kataloogi täppisotsing"
"All","Kõik"
"up to %s","kuni %s"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Go to Home Page","Mine avalehele"
"Minimal Query Length","Minimal Query Length"
"Modify your search","Muuda oma otsingut"
"List","Nimekiri"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Relevance","Olulisus"
"Search","Otsi"
"Search entire store here...","Otsi kogu poest..."
"Search results for '%s'","Otsingu '%s' tulemused"
"Search Settings","Otsingu seaded"
"Search Terms","Otsingu tingimused"
"There are no search terms available.","Otsingu tingimused ei ole võimalikud"
"Search results for: '%s'","Otsingu: '%s' tulemused"
"You have to specify at least one search term","Peate määrama vähemalt ühe otsingu tingimuse"
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Required Fields","Required Fields"
"Search Site","Search Site"
"Search Type","Search Type"
"Subscribe to Feed","Subscribe to Feed"
"Grid","Tabel"
"Advanced Search","Täppisotsing"
"Your search returns no results.","Teie otsingul ei olnud tulemusi."
"Results","Tulemused"
"Yes","Yes"
