"Success history lifetime","Õnnestumiste ajalugu eluaegne"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Unable to save Cron expression","Ei saa Cron avaldist salvestada"
"Failure history lifetime","Failure history lifetime"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Generate schedules every","Generate schedules every"
"History cleanup every","History cleanup every"
"Monthly","Igakuine"
"Weekly","Iganädalane"
"Daily","Igapäevane"
"Invalid callback: %s::%s does not exist","Invalid callback: %s::%s does not exist"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition, expecting ""model/class::method""."
"Missed if not run within","Lastakse mööda kui ei käivitata seest"
"No callbacks found","No callbacks found"
"Schedule ahead for","Planeeri ette"
"Too late for the schedule","Too late for the schedule"
"Unknown error","Unknown error"
