" Copy"," Copy"
"Reset","Algseadista"
"Start","Alusta"
"Cannot delete subscriber","Cannot delete subscriber"
"Cannot delete template","Cannot delete template"
"Cannot save your subscription: %s","Cannot save your subscription: %s"
"Email","E-post"
"Success Email Template","Eduas e-kirja mall"
"Success Email Sender","Edukas e-kirja saatja"
"Preview","Eelvaade"
"Not activated","Ei ole aktiveeritud"
"Not Sent","Ei ole saadetud"
"Cannot mark as received subscriber","Ei saa märkida kui tellimuse kättesaajat"
"Enter your email address","Enter your email address"
"Form was filled incorrectly","Form was filled incorrectly"
"ID","ID"
"Invalid subscriber ID","Invalid subscriber ID"
"Queue Start","Järjekorra algus"
"Queue Information","Järjekorra informatsioon"
"Queue Date Start","Järjekorra kuupäeva algus"
"Queue Finish","Järjekorra lõpp"
"Queue Subject","Järjekorra subjekt"
"Resume","Jätka"
"Do you really want to cancel the queue?","Kas Te tõesti tahate katkestada järjekorra?"
"Cancel","Katkesta"
"Unsubscribe","Katkesta tellimus"
"Unsubscribe Selected","Katkesta valitute tellimine"
"Cancelled","Katkestatud"
"Guest","Külaline"
"Invalid subscription ID","Kehtetu tellimuse ID"
"Invalid subscription confirmation code","Kehtetu tellimuse kinnituse kood"
"Confirmation Email Template","Kinnitava e-kirja mall"
"Confirmation Email Sender","Kinnitava e-kirja saatja:"
"Confirmation request has been sent","Kinnitusnõue on saadetud"
"Customer Firstname","Kliendi eesnimi"
"Customer Lastname","Kliendi perenimi"
"Customer","Klient"
"Convert to Plain Text","Konventeeri tekstiks"
"Delete Template","Kustuta mall"
"Delete Selected Problems","Kustuta valitud probleemid"
"Add to Queue","Lisa järjekorda"
"Add New Template","Lisa uus mall"
"Date Added","Lisamise kuupäev"
"Create Newsletter Template","Loo uudiskirja mall"
"Preview Template","Malli eelvaade"
"No Templates Found","Malli ei leitud"
"Template Information","Malli informatsioon"
"Duplicate of template code","Malli koodi duplikaat"
"Template Name","Malli nimi"
"Template Content","Malli sisu"
"Template Subject","Malli subjekt"
"Template Type","Malli tüüp"
"Edit Queue","Muuda järjekorda"
"Edit Template","Muuda malli"
"Edit Newsletter","Muuda uudiskirja"
"Edit Newsletter Template","Muuda uudiskirja malli"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","Newsletter Sign-up"
"Newsletter Subscription","Newsletter Subscription"
"Are you sure that you want to strip all tags?","Olete Te kindel et soovite eemaldada kõik html tag'id?"
"Are you sure that you want to delete this template?","Olete Te kindel et soovite seda malli kustutada"
"Please enter new template name","Palun sisesta uue malli nimi"
"Please select subscriber(s)","Palun vali tellija(d)"
"Pause","Peata"
"Paused","Peatatud"
"Please enter a valid email address","Please enter a valid email address"
"Store View","Poe vaade"
"Store","Pood"
"There was a problem with the un-subscription.","Probleem tellimuse katkestamisega"
"There was a problem with the subscription","Probleem tellimusega"
"There was a problem with the subscription: %s","Probleem tellimusega: %s"
"No problems found","Probleeme ei leitud"
"Queue Newsletter","Queue Newsletter"
"Sending","Saadan"
"Sent","Saadetud"
"Recipients","Saajad"
"Sender","Saatja"
"Sender Email","Saatja e-post"
"Sender Name","Saatja nimi"
"Save And Resume","Salvesta ja jätka"
"Save As","Salvesta kui"
"Save Template","Salvesta mall"
"Save Newsletter","Salvesta uudiskiri"
"Message","Sõnum"
"Sending Options","Sending Options"
"Set Return-Path","Set Return-Path"
"Sign me up","Sign me up"
"Status","Staatus"
"Subscribed","Subscribed"
"Back","Tagasi"
"Return Html Version","Tagasi html versiooni juurde"
"Thank you for your subscription","Täname Teid Teie tellimuse eest"
"Processed","Töödeldud"
"Type","Tüüp"
"Subject","Teema"
"Action","Tegevus"
"Your subscription was successfully confirmed","Teie tellimus on kinnitatud"
"You have been successfully unsubscribed.","Teie tellimus on tühistatud."
"Subscribe","Telli"
"Sign up for our newsletter:","Telli meie uudiskiri:"
"Subscriber","Tellija "
"Subscribers","Tellijad"
"Subscribers From","Tellijad"
"No subscribers selected","Tellijat ei ole valitud"
"Unsubscription Email Sender","Tellimise katkestamise e-kirja saatja"
"Subscription Options","Tellimise valikud"
"The subscription was successfully saved","Tellimus on salvestatud"
"Unsubscription Email Template","Tellimuse katkestamise e-kirja mall"
"Toggle Editor","Toggle Editor"
"Unsubscribed","Unsubscribed"
"Newsletter","Uudiskiri"
"Newsletter Queue","Uudiskirja järjekord"
"Newsletter Templates","Uudiskirja mall"
"Newsletter Problem Reports","Uudiskirja probleemi rapordid"
"Newsletter Message Preview","Uudiskirja sõnumi eelvaade"
"Newsletter Subscribers","Uudiskirja tellijad"
"Newsletter subscription success","Uudiskirja tellimine edukas"
"Newsletter unsubscription success","Uudiskirja tellimuse katkestamine edukas"
"Newsletter subscription confirmation","Uudiskirja tellimuse kinnitus"
"Newsletter Subscriptions","Uudiskirja tellimused"
"Date Updated","Uuendamise kuupäev"
"New Template","Uus mall"
"New Newsletter Template","Uus uudiskirja mall"
"View Newsletter","Vaata uudiskirja"
"Need to Confirm","Vajadus kinnitada"
"Invalid queue selected","Valitud kehtetu järjekord"
"Selected problem subscribers successfully unsubscribed","Valitud probleemi tellijate tellimused on tühistatud"
"Selected problems successfully deleted","Valitud probleemid on kustutatud"
"Error Code","Vea kood"
"Error Text","Vea tekst"
"Website","Veebisait"
"There was an error while saving your subscription","Viga Teie tellimuse salvestamisel"
