"%s Item(s)","%s Item(s)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- or click and drag for faster selection.","- or click and drag for faster selection."
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"About the calendar","About the calendar"
"Help Us to Keep Magento Healthy","Aita meil Magentot tervena hoida"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> if nothing has happened"
"Close","Close"
"Date selection:","Date selection:"
"Default welcome msg!","Default welcome msg!"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"For latest version visit: %s","For latest version visit: %s"
"Go Today","Go Today"
"Page:","Lehekülg:"
"per page","lehekülje kohta"
"Interface Language","Liidese keel"
"Show","Näita"
"Next month (hold for menu)","Next month (hold for menu)"
"Next Page","Next Page"
"Next year (hold for menu)","Next year (hold for menu)"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous Page","Previous Page"
"Report All Bugs","Raporteeri kõik bugid"
"Redirecting...","Redirecting..."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","See on demo pood. Tehtud tellimusi ei arvestata ega täideta."
"Select date","Select date"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","Skip to Main Content"
"Skip to Right Column","Skip to Right Column"
"Close Window","Sulge aken"
"Your Language","Teie keel"
"Welcome, %s!","Tere, %s!"
"Time selection:","Time selection:"
"Time:","Time:"
"Items %s to %s of %s total","Tooted %s kuni %s koguarvust %s"
"Default Description","Vaikimisi kirjeldus"
"Select Store","Vali pood"
"You're currently on:","You're currently on:"
"Your Language:","Your Language:"
