"API Login ID","API Login ID"
"Authorize Only","Authorize Only"
"Authorize.net","Authorize.net"
"Authorize and Capture","Autoriseeri ja võta valdusesse"
"Invalid amount for authorization","Autoriseerimiseks kehtetu summa"
"Invalid amount for authorization.","Autoriseerimiseks kehtetu summa."
"Credit Card Verification","Credit Card Verification"
"Debug","Debug"
"Email customer","E-posti klient"
"Error in payment gateway","Error in payment gateway"
"Error in retrieving the transaction","Error in retrieving the transaction"
"Gateway request error: %s","Gateway request error: %s"
"Sort order","Järjekord"
"User","Kasutaja"
"Merchant's email","Kaupmehe e-post"
"Merchant Login","Kaupmehe login"
"Invalid transaction id","Kehtetu tegevuse ID"
"Voided transaction","Kehtetuks tunnistatud transaktsioon"
"Credit Card Types","Krediitkaardi tüübid"
"Enabled","Lubatud"
"Payment authorization transaction has been declined.","Makse autoriseerimine on tagasi lükatud."
"Payment authorization error.","Makse autoriseerimise viga."
"Payment from applicable countries","Makse kohaldatavatest riikidest"
"Payment from Specific countries","Makse määratud riikidest"
"Payment Action","Makse tegevus"
"Maximum Order Total","Maximum Order Total"
"Minimum Order Total","Minimum Order Total"
"Title","Nimetus"
"TENDER","Pakkumus"
"Partner","Partner"
"Payflow Pro","Payflow Pro"
"Fraud order status","Petutellimuse staatus"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Password","Salasõna"
"Test mode","Test mode"
"Transaction key","Transaktsiooni võti"
"URL","URL"
"Use Proxy","Use Proxy"
"New order status","Uue tellimuse staatus"
"VERBOSITY","VERBOSITY"
"Error in authorizing the payment","Viga makse autoriseerimisel"
"Error in refunding the payment","Viga makse tagastamisel"
"Error in refunding the payment.","Viga makse tagastamisel."
"Error in capturing the payment","Viga makse valdusesse võtmisel"
