"Action","Action"
"Number Of Historical Uses","Ajalooline kasutuste arv"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Bestsellers","Bestsellerid"
"Carrier/Method","Carrier/Method"
"CSV","CSV"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Detail","Detail"
"Discounts","Discounts"
"Downloads","Downloads"
"Email","E-post"
"First Name","Eesnimi"
"Out of stock","Ei ole laos"
"Most viewed","Enimvaadatud"
"Most Viewed","Enimvaadatud"
"Excel","Excel"
"Price","Hind"
"Hits","Hitid"
"ID","ID"
"Invalid date specified","Invalid date specified"
"Invoiced","Invoiced"
"Items Ordered","Items Ordered"
"Number Of Uses","Kasutuste arv"
"Revenue","Käive"
"Guest","Külaline"
"Customer Tags","Kliendi märksõnad"
"Customer Name","Kliendi nimi"
"Customers","Kliendid"
"Customers that have wishlist: %s%","Kliendid kellel on soovikorv: %s%"
"Customers by number of orders","Kliendid tellimuste arvu järgi"
"Customers by orders total","Kliendid tellimuste summa järgi"
"Customer","Klient "
"Customers Reviews","Klientide kommentaarid"
"Customers Tags","Klientide märksõnad"
"Customers Report","Klientide raportid"
"Shipping","Kohaletoimetamine"
"Total","Kokku"
"Total invoiced","Kokku arveid esitatud"
"Total Tags","Kokku märksõnu"
"Total Refunded","Kokku tagastatud"
"Total refunded","Kokku tagastatud"
"Review","Kommentaar "
"Reviews","Kommentaarid"
"Number of Reviews","Kommentaaride arv"
"Number Of Reviews","Kommentaaride arv"
"Coupons","Kupongid"
"Submitted In","Kuskohast esitatud"
"Number of times deleted","Kustutamiste arv"
"Month","Kuu"
"Stock Qty","Laokogus"
"Link","Link"
"Add to Cart","Lisa ostukorvi"
"Add to Wishlist","Lisa soovikorvi"
"Add to Compare","Lisa võrdlusesse"
"Number Added","Lisatute arv"
"Created at","Loomise aeg"
"Low stock","Madal laoseis"
"Abandoned carts","Mahajäetud ostukorvid"
"Tax","Maks"
"Tag","Märksõna"
"Tag Detail","Märksõna detail"
"Tag use","Märksõna kasutus"
"Tag Name","Märksõna nimi"
"Tags submitted to %s","Märksõnad esitatud %s"
"Tags submited by %s","Märksõnade esitaja %s"
"Number of Total Tags","Märksõnade koguarv"
"Sales Report","Müügiaruanne"
"Sales","Müük"
"Submitted On","Millal esitatud"
"Visible In","Nähtav:"
"Show for Current","Näita praegust"
"Title","Nimetus"
"Name","Nimi"
"Number of Ivoiced Orders","Number of Ivoiced Orders"
"Number of Refunded Orders","Number of Refunded Orders"
"Your Recently Viewed","Olete viimati vaadanud"
"Your Recently Compared","Olete viimati võrrelnud"
"Bought from wishlists","Ostetud soovikorvist"
"Number Purchased","Ostmiste arv"
"Shopping Cart","Ostukorv "
"Carts","Ostukorvid"
"Search Terms","Otsingu tingimused"
"Day","Päev"
"Last Name","Perenimi"
"Popular Tags","Populaarsed märksõnad"
"Popularity","Populaarsus"
"Product Sku","Product Sku"
"Products Sold","Products Sold"
"Purchases","Purchases"
"Applied Coupon","Rakenda kupongi"
"Reports","Raportid"
"Rate","Rate"
"Refunded","Refunded"
"Results","Resultaadid"
"Reviews for %s","Reviews for %s"
"Wishlist vs. Regular Order","Soovikorv vs tavaline tellimus"
"Number of times wishlists have been shared (emailed): %s","Soovikorvi jagamise (e-postitamiste) arv: %s"
"Number of wishlist conversions: %s","Soovikorvi konversiooni arve: %s"
"Wishlist Report","Soovikorvi raport"
"Number of wishlist referrals: %s","Soovikorvi viidete arv: %s"
"Wishlists","Soovikorvid"
"Number of wishlists: %s","Soovikorvide arv: %s"
"Number of items bought from a wishlist: %s","Soovkorvist ostetud toodete arv: %s"
"Tag ""%s"" details","Tag ""%s"" details"
"Offline Refunded","Tagastatud offline"
"Online Refunded","Tagastatud online"
"Tax Amount","Tax Amount"
"Number Fulfilled","Täidetute arv"
"Orders","Tellimused"
"Number of Orders","Tellimuste arv"
"Quantity Ordered","Tellimuste kogused"
"Number of Items","Toodete arv"
"Quantity of Items","Toodete kogused"
"Products Reviews","Toodete kommentaarid"
"Products Tags","Toodete märksõnad"
"Poducts Report","Toodete raport"
"Products Report","Toodete raportid"
"Product Reviews","Toote kommentaarid"
"Product Tags","Toote märksõnad"
"Product Name","Toote nimi"
"Products","Tooted"
"Products in carts","Tooted ostukorvis"
"Items in Cart","Tooteid ostukorvis"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Total Shipping","Total Shipping"
"Number of Unique Tags","Unikaalsete märksõnade arv"
"New Accounts","Uued kontod"
"Updated at","Uuendamise kuupäev"
"Number of New Accounts","Uute kontode arv"
"Number of Views","Vaatamiste arv"
"Number Viewed","Vaatamiste arv"
"Subtotal","Vahesumma"
"Last Review","Viimane kommentaar"
"Recently Viewed Products","Viimati vaadatud tooted"
"Recently Viewed/Compared Products","Viimati vaadatud/võrreldud tooted"
"Recently Compared Products","Viimati võrreldud tooted"
"Year","Year"
