"Allow for Guests","Allow for Guests"
"Email templates","E-kirjade mallid"
"Email:","E-post:"
"Email Address","E-posti aadress"
"Email Address:","E-posti aadress:"
"Remove Email","Eemalda e-post"
"Link to a friend was sent.","Link on sõbrale saadetud"
"Add Recipient","Lisa saaja"
"Enabled","Lubatud"
"Max Recipients","Maks saajaid"
"Max Products Sent in 1 Hour","Maks tooteid saadetud ühe tunni jooksul"
"Maximum %d email addresses allowed.","Maksimaalselt %d e-posti aadresse lubatud."
"Some emails was not sent","Mõned e-kirjad jäid saatmata"
"Name","Nimi"
"Name:","Nimi:"
"Limit Sending By","Piira saatmist"
"Some problems with data.","Probleemid andmetega"
"Send email","Saada e-post"
"Email to a Friend","Saada sõbrale"
"Send product to a friend","Saada toode sõbrale"
"Recipient:","Saaja:"
"Sender:","Saatja:"
"Message:","Sõnum:"
"You cannot send more than %d times in an hour","Te ei saa saata rohkem kui %d korda tunni aja jooksul"
"Select email template","Vali e-post mall"
"You cannot email this product to a friend","You cannot email this product to a friend"
