" was not delivered nor scanned"," was not delivered nor scanned"
"1 Day Freight","1 päeva vedu"
"2 Day Freight","2 päeva vedu"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"2Day","2Päev"
"3 Day Select","3 Day Select"
"3 Day Freight","3 päeva vedu"
"Additional Protection Configuration Value","Additional Protection Configuration Value"
"Additional Protection Enabled","Additional Protection Enabled"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal"
"Additional Protection Value","Additional Protection Value"
"Additional Protection Value Rounding Method","Additional Protection Value Rounding Method"
"Ground","Alus"
"Calculate Handling Fee","Arvuta käsitlustasu"
"Oversize","Ülemõõduline"
"Business Service Center","Äriteenuste keskus"
"Canada Standard","Canada Standard"
"Commercial","Commercial"
"Configuration","Configuration"
"Customer Packaging","Customer Packaging"
"Default Package Height","Default Package Height"
"Default Package Length","Default Package Length"
"Default Package Width","Default Package Width"
"DHL","DHL"
"Domestic Shipment Days","Domestic Shipment Days"
"Dropoff","Dropoff"
"No","Ei"
"There is no available method for selected shipping address.","Ei ole kohaldatavaid meetodeid valitud tarneaadressidele"
"Unable to retrieve tracking","Ei saa tõmmata jälgimist"
"Cannot retrieve shipping rates","Ei saa tõmmata lähetamise hindasid"
"Express","Ekspress"
"Express 10:30 AM","Ekspress 10:30"
"Express Saturday","Ekspress Laupäev"
"Express Saver","Ekspress Sääst"
"Enable Negotiated Rates","Enable Negotiated Rates"
"First Overnight","Esimene üleöö"
"First-Class","Esimene klass"
"Europe First Priority","Euroopa First Priority"
"Express Mail","Express Mail"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg pakk"
"FedEx 25kg Box","FedEx 25kg pakk"
"FedEx Envelope","FedEx ümbrik"
"FedEx Pak","FedEx Pak"
"FedEx Box","FedEx pakk"
"FedEx Tube","FedEx Tube"
"Flat","Flat"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"International Shipment Days","International Shipment Days"
"Intl Economy Freight","Intl Economy Freight"
"Intl Priority Freight","Intl Priority Freight"
"Station","Jaam"
"Yes","Jah"
"Tracking XML URL","Jälgimise XML URL"
"Next Afternoon","Järgmine pärastlõuna"
"Sort order","Järjekord"
"Weight Unit","Kaaluühik"
"User ID","Kasutaja ID"
"Handling Applied","Käsitlus lisatud"
"Handling fee","Käsitlustasu"
"All Services","Kõik teenused"
"Invalid DHL XML code for type %s: %s","Kehtetu DHL XML kood tüübile %s: %s"
"Invalid DHL XML code type: %s","Kehtetu DHL XML koodi tüüp: %s"
"Invalid FedEx XML code for type %s: %s","Kehtetu FedEx XML kood tüübile %s: %s"
"Invalid FedEx XML code type: %s","Kehtetu FedEx XML koodi tüüp: %s"
"Invalid UPS CGI code for type %s: %s","Kehtetu UPS CGI kood tüübile %s: %s"
"Invalid UPS CGI code type: %s","Kehtetu UPS CGI koodi tüüp: %s"
