"(eg: domain.com/identifier)","(eg: domain.com/identifier)"
"Home","Avaleht"
"General Information","Üldine info"
"Custom Theme From","Custom Theme From"
"Custom Theme To","Custom Theme To"
"Unable to find a page to delete","Ei leia lehekülge mida kustutada"
"Unable to find a block to delete","Ei leia plokki mida kustutada"
"Manage Pages","Halda lehekülgi"
"Identifier","Identifikaator"
"Custom Design","Individuaalne disain"
"Custom Theme","Individuaalne teema"
"All countries","Kõik riigid"
"Disabled","Keelatud"
"Description","Kirjeldus"
"Customer Tax Class Information","Kliendi maksuklasiis informatsioon"
"Layout","Kujundus"
"Layout Update XML","Kujunduse uuenduse XML"
"Delete Page","Kustuta lehekülg"
"Delete Block","Kustuta plokk"
"Page was successfully deleted","Lehekülg on kustutatud"
"Page was successfully saved","Lehekülg on salvestatud"
"The page you are trying to save no longer exists","Lehekülge mida püüate salvestade ei eksisteeri enam"
"Page Information","Lehekülje info"
"Page Title","Lehekülje nimetus"
"Page Status","Lehekülje staatus"
"Add New Page","Lisa uus lehekülg"
"Add New Block","Lisa uus plokk"
"Date Created","Loomise kuupäev"
"Enabled","Lubatud"
"Keywords","Märksõnad"
"Meta Data","Meta andmed"
"Meta Description","Meta kirjeldus"
"Meta Keywords","Meta märksõnad"
"Go to Home Page","Mine avalehele"
"Edit Page '%s'","Muuda lehekülg '%i'"
"Edit Page","Muuda lehekülge"
"Edit Block '%s'","Muuda plokk '%s'"
"Edit Block","Muuda plokki"
"Show breadcrumbs for CMS pages","Näita sisuhalduse lehtede leivapuru"
"Title","Nimetus"
"Page Identifier cannot consist only of numbers.","Page Identifier cannot consist only of numbers."
"Page Identifier for specified store already exist.","Page Identifier for specified store already exist."
"Block Information","Ploki informatsioon"
"Block Title","Ploki nimetus"
"Block was successfully deleted","Plokk on kustutatud"
"Block was successfully saved","Plokk on salvestatud"
"Store View","Poe vaade"
"Poll Manager","Poll Manager"
"Save Page","Salvesta lehekülg"
"Save Block","Salvesta plokk"
"This page no longer exists","Seda lehekülge enam ei eksisteeri"
"This block no longer exists","Seda plokki enam ei eksisteeri"
"SEF URL Identifier","SEF URL Identifier"
"Such a block identifier in selected store already exist.","Sellin ploki identifikaator valitu poes juba eksisteerib"
"Content","Sisu"
"CMS","Sisuhaldus"
"CMS Home Page","Sisuhalduse avaleht"
"CMS No Route Page","Sisuhalduse No Route lehekülg"
"Static Blocks","Staatilised plokid"
"Status","Staatus"
"Action","Tegevus"
"Product Tax Class Information","Toote maksuklassi informatsioon"
"New Page","Uus lehekülg"
"New Block","Uus plokk"
"Last Modified","Viimati muudetud"
