"%s already exists","%s on juba olemas"
"%s already exist","%s on juba olemas"
"-- Please Select --","-- Vali --"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","Add Store Code to Urls"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin User Emails"
"This category only","Ainult see kategooria"
"Timezone","Ajavöönd"
"Developer","Arendaja"
"Developer Client Restrictions","Arendaja kliendi piirangud"
"Advanced","Üksikasjalikumalt"
"General","Üldine"
"General contact","Üldine kontakt"
"General Settings","Üldised seaded"
"Base JavaScript URL","Baas JavaScript URL"
"Base Link URL","Baas link URL"
"Base Media URL","Baas media URL"
"Base Skin URL","Baas Skin URL"
"Base URL","Baas URL"
"Back to Main Product Info","Back to Main Product Info"
"Backup options","Backup options"
"Blocks HTML output","Blocks HTML output"
"Can't retrieve entity config: %s","Can't retrieve entity config: %s"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Cannot Delete Email Template","Cannot Delete Email Template"
"Category object is required for determining product request path","Category object is required for determining product request path"
"Clear All","Clear All"
"Collections Data","Collections Data"
"Compare Products","Compare Products"
"Configuration","Configuration"
"Cookie Domain","Cookie domeen"
"Cookie Lifetime","Cookie eluiga"
"Cookie Path","Cookie tee"
"Copyright","Copyright"
"Custom admin URL","Custom admin URL"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Debug"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default Robots","Default Robots"
"Default Title","Default Title"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","Disain"
"Design Change","Disaini muutus"
"Duplicate Of Template Code","Duplicate Of Template Code"
"Unable to proceed. Please, try again","Ei saa jätkata. Palun proovi uuesti."
"Can't retrieve request object","Ei saa tõmmata nõude objekti"
"Before modifying the store view code please make sure that it is not used in index.php","Enne kui muudate poe vaate koodi kontrollige et seda ei kasuta index.php"
"Before modifying the website code please make sure that it is not used in index.php","Enne kui muudate veebisaidi koodi kontrollige et seda ei kasuta index.php"
"Exceptions Log File Name","Exceptions Log File Name"
"First Day of Week","First Day of Week"
"Footer","Footer"
"Global","Globaalne"
"Go","Go"
"Manage Stores","Halda poode"
"Header","Header"
"Host","Host"
"HTML Head","HTML Head"
"Id path for specified store","Id tee valitud poel"
"Custom Design","Individuaalne disain"
"Custom email 1","Individuaalne e-kiri 1"
"Custom email 2","Individuaalne e-kiri 2"
"Sort order","Järjekord"
"Root Category","Juurkategooria"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Kapluse kood peaks sisaldada ainult tähti (a-z), numbreid (0-9) või alakriipsu (_), eismene märk peab olema täht"
"Use Secure URLs in Frontend","Kasuta turvalisi URL-e Frontendis"
"Use Secure URLs in Admin","Kasuta turvalisi URLe Admin-is"
"Use Web Server Rewrites","Kasuta veebiserveri ülekirjutamisi"
"Cancel","Katkesta"
"Store","Kauplus"
"Store was successfully deleted.","Kauplus on kustutatud"
"Store was successfully saved","Kauplus on salvestatud"
"Store with the same code","Kauplus sama koodiga"
"Store Email Addresses","Kaupluse e-posti aadress"
"Store Information","Kaupluse info"
"Store Name","Kaupluse nimi"
"Store View was successfully saved","Kaupluse vaade on salvestatud"
"Store View Information","Kaupluse vaate info"
"Store View Name","Kaupluse vaate nimi"
