"Expire at: %s","Aegumise aeg: %s"
"ALL","ALL"
"Start at: %s","Alustamise aeg: %s"
"Open Chooser","Ava valija"
"TRUE","ÕIGE"
"by","by"
"contains","contains"
"does not contain","does not contain"
"Remove","Eemalda"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"ANY","IGA"
"Invalid discount amount.","Invalid discount amount."
"is","is"
"is not","is not"
"is not one of","is not one of"
"is one of","is one of"
"Description: %s","Kirjeldus: %s"
"If %s of these conditions are %s:","Kui %s nendest tingimustest on %s:"
"less than","less than"
"Add","Lisa"
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"Name: %s","Nimi: %s"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Please choose an action to add...","Palun vali tegevus mida lisada..."
"Please choose a condition to add...","Palun vali tingimus mida lisada..."
"Apply","Rakenda"
"Perform following actions","Teosta järgmised tegevused"
"to","to"
"FALSE","VALE"
