"-- Please Select --","-- Please Select --"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","Class Name"
"Code","Code"
"Country","Country"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","County"
"CSV","CSV"
"Custom price if available","Custom price if available"
"Customer Tax Class Information","Customer Tax Class Information"
"Customer Tax Classes","Customer Tax Classes"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","Delete Class"
"Delete Rate","Delete Rate"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display full tax summary","Display full tax summary"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Display Shipping Prices"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Edit Class","Edit Class"
"Edit Class '%s'","Edit Class '%s'"
"Edit Tax Rate","Edit Tax Rate"
"Error while deleting this class. Please try again later.","Error while deleting this class. Please try again later."
"Error while deleting this rate. Incorrect rate ID","Error while deleting this rate. Incorrect rate ID"
"Error while deleting this rate. Please try again later.","Error while deleting this rate. Please try again later."
"Error while deleting this tax rule. Please try again later.","Error while deleting this tax rule. Please try again later."
"Error while saving this rate. Please try again later.","Error while saving this rate. Please try again later."
"Error while saving this tax class. Class with the same name ","Error while saving this tax class. Class with the same name "
"Error while saving this tax class. Please try again later.","Error while saving this tax class. Please try again later."
"Error while saving this tax rule. Please try again later.","Error while saving this tax rule. Please try again later."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","Excluding tax"
"Export Tax Rates","Export Tax Rates"
"Manage Tax Rules","Halda maksu reegleid"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","Import / Export Tax Rates"
"Import Tax Rates","Import Tax Rates"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","Incorrect rate Data"
"Invalid data for tax rate calculation","Invalid data for tax rate calculation"
"Invalid file format upload attempt","Invalid file format upload attempt"
"Invalid file upload attempt","Invalid file upload attempt"
"Customer Tax Class","Kliendi maksu klass"
"Delete Rule","Kustuta reegel"
"Add New Class","Lisa uus klass"
"Add New Tax Rate","Lisa uus maksu määr"
"Add New Tax Rule","Lisa uus maksu reegel"
"Tax","Maks"
"Inc. Tax","Maksuga"
"Incl. Tax","Maksuga"
"Tax Rate","Maksumäär"
"Excl. Tax","Maksuta"
"Manage Customer Tax Classes","Manage Customer Tax Classes"
"Manage Product Tax Classes","Manage Product Tax Classes"
"Manage Tax Rates","Manage Tax Rates"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Edit Rule","Muuda reeglit"
"New Class","New Class"
"New Rule","New Rule"
"New Tax Rate","New Tax Rate"
"Name","Nimi"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Original price only"
"Please select Country","Please select Country"
"Please select County","Please select County"
"Please select State","Please select State"
"Priority","Prioriteet"
"Product Tax Class Information","Product Tax Class Information"
"Product Tax Classes","Product Tax Classes"
"Rate","Rate"
"Reset","Reset"
"Sales","Sales"
"Save Rule","Salvesta reegel"
"Tax rates at the same priority are added, others are compounded.","Sama prioriteediga maksumäärad liidetakse, muud jäetakse eraldi komponendina"
"Save Class","Save Class"
"Save Rate","Save Rate"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","Sort Order"
"State","State"
"State/Region","State/Region"
"Back","Tagasi"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax class was successfully deleted","Tax class was successfully deleted"
"Tax class was successfully saved","Tax class was successfully saved"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax Rate Information","Tax Rate Information"
"Tax rate was successfully deleted","Tax rate was successfully deleted"
"Tax rate was successfully imported","Tax rate was successfully imported"
"Tax rate was successfully saved","Tax rate was successfully saved"
"Tax Rule Information","Tax Rule Information"
"Tax rule was successfully deleted","Tax rule was successfully deleted"
"Tax rule was successfully saved","Tax rule was successfully saved"
"Tax Rules","Tax Rules"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"This class no longer exists","This class no longer exists"
"This rule no longer exists","This rule no longer exists"
"Product Tax Class","Toote maksu klass"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","You cannot delete this tax class as it is used for %d customer groups."
"You cannot delete this tax class as it is used for %d products.","You cannot delete this tax class as it is used for %d products."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first."
"Zip/Post Code","Zip/Post Code"
