"store";"websites";"attribute_set";"categories";"type";"sku";"meta_title";"name";"meta_description";price;"description";"short_description";"image";"tuup";"status";"tax_class_id";"unit_quantity";"manufacturer";"visibility";"meta_keyword";is_in_stock;pant;"ean";"axapta_code";"tax_value";"unit_id"
"admin";"base";"Jungent";"pagaritooted/Mantinga jae,mantinga/Mantinga jae";"simple";"125299";"''";"MANTINGA Prantsuse leivakesed (6tk) 270g";"''"; 000000.67;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"sügavkülma tooted";"Enabled";"Taxable Goods";"10";"Mantinga";"Catalog";"''"; 1; 00.00;"4771033178139";"125299";"20";"Tk"
"admin";"base";"Jungent";"pagaritooted/Valmispagaritooted Mantinga,mantinga/Valmispagaritooted Mantinga";"simple";"126599";"''";"Pikantsed korvikesed 12*9g";"''"; 000000.80;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"18";"Mantinga";"Catalog";"''"; 1; 00.00;"4771033481048";"126599";"20";"Tk"
"admin";"base";"Jungent";"pagaritooted/Valmispagaritooted Mantinga,mantinga/Valmispagaritooted Mantinga";"simple";"126699";"''";"Dessertkorvikesed 12*9g";"''"; 000000.80;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"18";"Mantinga";"Catalog";"''"; 1; 00.00;"4771033481017";"126699";"20";"Tk"
"admin";"base";"Jungent";"puljong ja kastmed/Kastmed Uncle Bens";"simple";"173499";"''";"Uncle Ben's Sweet & Sour";"''"; 000007.71;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"2tk*2,3 kg";"UncleBens";"Catalog";"''"; 1; 00.00;"4002359661211";"173499";"20";"tk"
"admin";"base";"Jungent";"puljong ja kastmed/Pure kastmed";"simple";"242699";"''";"PURE tomatiketshup Classic 500g";"''"; 000000.98;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"10";"Pure";"Catalog";"''"; 1; 00.00;"4750145003584";"242699";"20";"tk"
"admin";"base";"Jungent";"puljong ja kastmed/Pure kastmed";"simple";"242799";"''";"PURE tomatiketshup vürtsikas 500g";"''"; 000000.98;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"10";"Pure";"Catalog";"''"; 1; 00.00;"4750145003614";"242799";"20";"tk"
"admin";"base";"Jungent";"puljong ja kastmed/Pure kastmed";"simple";"243099";"''";"PURE Adzhika 280g";"''"; 000000.77;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12";"Pure";"Catalog";"''"; 1; 00.00;"4750145003690";"243099";"20";"tk"
"admin";"base";"Jungent";"puljong ja kastmed/Pure kastmed";"simple";"245899";"''";"PURE Adzhika kaukaasiapärane 280g";"''"; 000000.77;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12";"Pure";"Catalog";"''"; 1; 00.00;"4750145003751";"245899";"20";"tk"
"admin";"base";"Jungent";"puljong ja kastmed/Pure kastmed";"simple";"245999";"''";"PURE Adzhika gruusiapärane 280g";"''"; 000000.89;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12";"Pure";"Catalog";"''"; 1; 00.00;"4750145003768";"245999";"20";"tk"
"admin";"base";"Jungent";"puljong ja kastmed/Pure kastmed";"simple";"246099";"''";"PURE tomatikaste Hrenovina 280g mädarõikaga";"''"; 000000.81;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12";"Pure";"Catalog";"''"; 1; 00.00;"4750145003799";"246099";"20";"tk"
