"store";"websites";"attribute_set";"categories";"type";"sku";"meta_title";"name";"meta_description";price;"description";"short_description";"image";"tuup";"status";"tax_class_id";"unit_quantity";"manufacturer";"visibility";"meta_keyword";is_in_stock;pant;"ean";"axapta_code";"tax_value";"unit_id"
"admin";"base";"Jungent";"maiustused/Chupa Chups Pulgakomm";"simple";"21599";"''";"CH CH Hello Kitty Yo-Yo 6x24";"''"; 000000.96;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"144";"Chupa";"Catalog";"''"; 0; 00.00;"8410031944020";"21599";"20";"tk"
"admin";"base";"Jungent";"maiustused/Mentos";"simple";"33699";"''";"Mentos 3L Fresh maas-vaar-õun 6x12";"''"; 000000.63;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"72";"Mentos";"Catalog";"''"; 1; 00.00;"80880974";"33699";"20";"tk"
"admin";"base";"Jungent";"maiustused/Mentos";"simple";"33799";"''";"Mentos 3L Pure Fresh Mint 6x12";"''"; 000000.63;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"72";"Mentos";"Catalog";"''"; 1; 00.00;"80970354";"33799";"20";"tk"
"admin";"base";"Jungent";"maiustused/Mentos";"simple";"33999";"''";"Mentos 3L arbuus-ananass-melon 6x12";"''"; 000000.63;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"72";"Mentos";"Catalog";"''"; 1; 00.00;"80808800";"33999";"20";"tk"
"admin";"base";"Jungent";"marjad ja moosid/PURE";"simple";"240699";"''";"PURE vähendatud energiasisaldusega aprikoosimoos 390g (klaas)";"''"; 000001.51;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"8";"Pure";"Catalog";"''"; 1; 00.00;"0";"240699";"20";"tk"
"admin";"base";"Jungent";"marjad ja moosid/PURE";"simple";"240899";"''";"PURE vähendatud energiasisaldusega mitme marja moos 390g (klaas)";"''"; 000001.51;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"8";"Pure";"Catalog";"''"; 1; 00.00;"0";"240899";"20";"tk"
"admin";"base";"Jungent";"mahl/Mahlad klaastaaras Pure 300ml";"simple";"243199";"''";"PURE õunamahl 100% 300 ml";"''"; 000000.47;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12*300ml";"Pure";"Catalog";"''"; 0; 00.66;"4750145016867";"243199";"20";"tk"
"admin";"base";"Jungent";"tordid ja koogid/Tordid Delicato";"simple";"532999";"''";"Mandlitort 750g";"''"; 000010.65;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"sügavkülma tooted";"Enabled";"Taxable Goods";"5tk";"Delicato";"Catalog";"''"; 0; 00.00;"7315360012819";"532999";"20";"tk"
"admin";"base";"Jungent";"hügieenitarbed/Dushigeel. vannivaht";"simple";"645799";"''";"PO dušigeel Thermal Spa Mineral Massage 250ml";"''"; 000001.56;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12";"Palmolive";"Catalog";"''"; 1; 00.00;"8714789514635";"645799";"20";"tk"
"admin";"base";"Jungent";"hügieenitarbed/Ajax Muu";"simple";"614099";"''";"Ajax aknapuhastusvahend roheline refill 750ml";"''"; 000001.15;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12";"Ajax";"Catalog";"''"; 1; 00.00;"5900273485137";"614099";"20";"tk"
"admin";"base";"Jungent";"hügieenitarbed/Ajax Muu";"simple";"639499";"''";"AJAX üldpuhastus Varnished Wood 1000ml";"''"; 000001.27;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12";"Ajax";"Catalog";"''"; 1; 00.00;"5900273002976";"639499";"20";"tk"
